endpoint,lookup,fields
mobile-schedule-occurrence-logs,id,"actionDate,status,lastStatusOn,onSiteOn,enRouteOn,completedOn,mobileRunsheetSession,mobileSchedule,mobileScheduleOccurrence,employee,report,mobileScheduleOccurrenceReassignments,uri,resourceType,id,createdBy,createdOn,updatedBy,updatedOn"
mobile-schedule-occurrence-reassignments,id,"mobileRunsheetSession,mobileScheduleOccurrenceLog,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
mobile-schedule-occurrences,id,"customId,dayOfWeekStart,dayOfWeekEnd,occurrenceDate,rangeStartTime,rangeEndTime,durationMinutes,beginServiceOn,endServiceOn,description,details,mobileRunsheetSortOrder,rangeStartedDateTime,rangeEndedDateTime,taskType,mobileRunsheet,client,priceTier,zonePosition,reportTemplate,mobileScheduleOccurrenceLog,uri,resourceType,id,createdBy,createdOn,updatedBy,updatedOn"
mobile-schedules,id,"customId,dayOfWeekStart,dayOfWeekEnd,rangeStartTime,rangeEndTime,durationMinutes,beginServiceOn,endServiceOn,description,details,mobileRunsheetSortOrder,taskType,mobileRunsheet,client,priceTier,zonePosition,reportTemplate,uri,resourceType,id,createdBy,createdOn,updatedBy,updatedOn"
notes,id,"content,createdOn,createdBy,id,uri,resourceType,updatedBy,updatedOn"
oauth2-access-tokens,id,"identifier,expiresOn,client,user,scopes,isRevoked,id,uri,resourceType"
oauth2-auth-codes,id,"identifier,expiresOn,isRevoked,scopes,user,client,id,uri,resourceType"
oauth2-clients,id,"identifier,secret,name,description,logo,active,redirectUris,grants,scopes,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
oauth2-refresh-tokens,id,"identifier,expiresOn,accessToken,isRevoked,id,uri,resourceType"
open-shift-requests,id,"shift,requester,status,statusReason,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
overtime-rules,id,"name,id,uri,resourceType"
payment-methods,id,"name,id,uri,resourceType"
payroll-adhocs,id,"isOvertimeWeighted,id,account,employee,payrollCode,memo,eventDate,quantity,rate,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
payroll-codes,id,"name,isGlobal,code,type,region,multiplier,extraCharge,payable,impactsOvertime,billable,isAdhoc,isDeductable,id,uri,resourceType"
payroll-deductions,id,"rate,id,account,employee,payrollCode,memo,eventDate,quantity,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
payroll-payrun-items,id,"payrun,employee,department,shift,account,payrollCode,payrollCodeLabel,quantity,rate,total,originType,originTypeItemId,label,notes,locked,shiftFragmentDateStart,shiftFragmentDateEnd,expenseDate,employeeType,companyCode,baseRate,payRateLevel,qualifier,id,uri,resourceType"
payroll-payruns,id,"payrollSchedule,occurrenceDate,occurrenceStartDate,occurrenceEndDate,region,status,isProcessed,countEmployees,totalHours,totalCost,totalOvertimeCost,totalOvertimeHours,totalHolidayCost,totalHolidayHours,items,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
payroll-schedule-occurrences,id,"payrollSchedule,occurrenceDate,region,subRegionId,employees"
payroll-schedules,id,"name,frequency,semiMonthlyFirstReferenceDay,semiMonthlySecondReferenceDay,isHolidayCountedInOvertime,holidaysAlignedWithPeriodStartTime,periodStartTime,periodStartDate,isGlobal,region,status,overlapingStrategy,holidayOverlapingStrategy,isOvertimeWeighted,multiplePayCodesStrategy,id,uri,resourceType"
position-billing-settings,id,"position,type,billItem,rate,discountRate,holidayGroup,billBreaks,holiday,holidayRate,holidayMultiplier,overtimeRule,id,uri,resourceType"
position-payroll-settings,id,"position,payPositionRate,positionHourlyRate,holiday,holidayRate,holidayMultiplier,holidayGroup,payCode,payBreaks,id,uri,resourceType"
position-premiums,id,"status,type,code,name,amount,isOvertime,payCode,positions,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
positions,id,"name,description,customId,status,account,contract,nonBillable,shiftMemo,beginDate,endDate,breakRule,billingSetting,payrollSetting,taxClass,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
position-skills,id,"position,skill,type,comments,id"
post-order-acknowledgements,id,"status,postOrder,employee,acknowledgedOn,id,uri,resourceType"
post-orders,id,"subject,details,account,version,acknowledgements,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
post-order-subjects,id,"name,account,id,uri,resourceType"
price-tiers,id,"name,customId,instructions,effectiveDate,validUntilDate,cancellationThresholdInMinutes,contract,taxClass,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
regions,id,"customId,name,company,firstName,lastName,primaryPhone,email,address,timeZone,parentRegion,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn,logo"
report-fields,id,"report,templateField,value,valueLabel,archived,id,uri,resourceType"
report-flag-categories,id,"name,customId,isGlobal,region,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
report-flag-group-assignments,id,"reportFlag,reportFlagGroup,id,uri,resourceType"
report-flag-groups,id,"name,customId,reportFlags,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
report-flags,id,"name,details,guidReferenceId,showInDefaultGroup,severityLevel,customId,category,alias,isGlobal,region,reportFlagGroups,id,uri,resourceType,createdBy,createdOn,updatedBy,updatedOn"
